Nr,TID,PID,x [0],y [0],t [sec],I [val],Len [0],D2S [0],D2R [0],D2P [0],v [0/sec],? [deg],?? [deg]
1,1,1,67.949,36.46,0,48.6,0,0,NA,NA,NA,NA,NA
2,1,2,68.028,38.591,0,61.3,2.132,2.132,NA,2.132,NA,87.879,NA
3,2,1,63.451,39.223,0,81.9,0,0,NA,NA,NA,NA,NA
4,2,2,63.372,40.722,0,114.2,1.502,1.502,NA,1.502,NA,93.013,NA
5,3,1,71.658,37.644,0,40.3,0,0,NA,NA,NA,NA,NA
6,3,2,71.737,39.696,0,98.8,2.053,2.053,NA,2.053,NA,87.797,NA
7,4,1,75.92,38.039,0,36.8,0,0,NA,NA,NA,NA,NA
8,4,2,75.999,39.459,0,77.2,1.423,1.423,NA,1.423,NA,86.82,NA
9,5,1,59.347,39.775,0,87.5,0,0,NA,NA,NA,NA,NA
10,5,2,59.426,40.88,0,95.9,1.108,1.108,NA,1.108,NA,85.914,NA
11,6,1,56.348,40.249,0,96.6,0,0,NA,NA,NA,NA,NA
12,6,2,56.506,41.827,0,94.1,1.586,1.586,NA,1.586,NA,84.289,NA
13,7,1,54.059,41.669,0,77.7,0,0,NA,NA,NA,NA,NA
14,7,2,54.217,43.09,0,79.6,1.429,1.429,NA,1.429,NA,83.66,NA
15,8,1,78.445,39.854,0,109,0,0,NA,NA,NA,NA,NA
16,8,2,78.603,41.196,0,87,1.351,1.351,NA,1.351,NA,83.29,NA
17,9,1,85.627,41.117,0,87.1,0,0,NA,NA,NA,NA,NA
18,9,2,85.627,42.379,0,110.7,1.263,1.263,NA,1.263,NA,90,NA
19,10,1,70.474,39.144,0,99,0,0,NA,NA,NA,NA,NA
20,10,2,70.395,40.406,0,77.3,1.265,1.265,NA,1.265,NA,93.576,NA
21,11,1,65.66,37.881,0,57.9,0,0,NA,NA,NA,NA,NA
22,11,2,65.976,39.775,0,72.7,1.92,1.92,NA,1.92,NA,80.538,NA
23,12,1,90.125,41.511,0,83.3,0,0,NA,NA,NA,NA,NA
24,12,2,90.204,42.853,0,115.1,1.344,1.344,NA,1.344,NA,86.634,NA
25,13,1,89.415,38.197,0,49.5,0,0,NA,NA,NA,NA,NA
26,13,2,89.178,39.459,0,39.5,1.285,1.285,NA,1.285,NA,100.62,NA
27,14,1,86.258,37.565,0,40.4,0,0,NA,NA,NA,NA,NA
28,14,2,86.258,39.459,0,57.1,1.894,1.894,NA,1.894,NA,90,NA
