Nr,TID,PID,x [0],y [0],t [sec],I [val],Len [0],D2S [0],D2R [0],D2P [0],v [0/sec],? [deg],?? [deg]
1,1,1,66.154,38.361,0,54.6,0,0,NA,NA,NA,NA,NA
2,1,2,66.232,39.927,0,69.2,1.568,1.568,NA,1.568,NA,87.138,NA
3,2,1,60.987,40.319,0,106.7,0,0,NA,NA,NA,NA,NA
4,2,2,60.987,41.415,0,113.7,1.096,1.096,NA,1.096,NA,90,NA
5,3,1,73.983,38.675,0,48.9,0,0,NA,NA,NA,NA,NA
6,3,2,74.061,40.24,0,64.9,1.568,1.568,NA,1.568,NA,87.138,NA
7,4,1,70.538,38.988,0,67.8,0,0,NA,NA,NA,NA,NA
8,4,2,70.616,40.24,0,88.9,1.255,1.255,NA,1.255,NA,86.424,NA
9,5,1,55.194,41.493,0,86.1,0,0,NA,NA,NA,NA,NA
10,5,2,55.35,42.98,0,88.7,1.496,1.496,NA,1.496,NA,83.991,NA
11,6,1,49.4,41.336,0,43.8,0,0,NA,NA,NA,NA,NA
12,6,2,49.635,42.667,0,49.8,1.351,1.351,NA,1.351,NA,79.992,NA
13,7,1,51.749,42.198,0,51.8,0,0,NA,NA,NA,NA,NA
14,7,2,51.905,43.529,0,77.8,1.34,1.34,NA,1.34,NA,83.29,NA
15,8,1,79.776,41.336,0,86.7,0,0,NA,NA,NA,NA,NA
16,8,2,79.776,42.667,0,109.1,1.331,1.331,NA,1.331,NA,90,NA
17,9,1,86.509,41.884,0,74.7,0,0,NA,NA,NA,NA,NA
18,9,2,86.587,43.45,0,119.2,1.568,1.568,NA,1.568,NA,87.138,NA
19,10,1,89.719,41.728,0,51.3,0,0,NA,NA,NA,NA,NA
20,10,2,89.641,43.137,0,104.5,1.411,1.411,NA,1.411,NA,93.18,NA
21,11,1,93.79,42.276,0,61.7,0,0,NA,NA,NA,NA,NA
22,11,2,93.868,43.607,0,87.7,1.333,1.333,NA,1.333,NA,86.634,NA
23,12,1,97.391,42.824,0,74.5,0,0,NA,NA,NA,NA,NA
24,12,2,97.548,44.625,0,100.4,1.807,1.807,NA,1.807,NA,85.03,NA
25,13,1,64.51,38.596,0,59.2,0,0,NA,NA,NA,NA,NA
26,13,2,64.588,40.24,0,54.9,1.646,1.646,NA,1.646,NA,87.274,NA
27,14,1,103.028,42.98,0,73.5,0,0,NA,NA,NA,NA,NA
28,14,2,103.028,44.703,0,103.1,1.722,1.722,NA,1.722,NA,90,NA
29,15,1,108.117,43.763,0,71.6,0,0,NA,NA,NA,NA,NA
30,15,2,108.273,45.407,0,116.6,1.652,1.652,NA,1.652,NA,84.56,NA
31,16,1,114.536,44.155,0,97.9,0,0,NA,NA,NA,NA,NA
32,16,2,114.693,45.799,0,118.4,1.652,1.652,NA,1.652,NA,84.56,NA
33,17,1,119.39,43.685,0,71.8,0,0,NA,NA,NA,NA,NA
34,17,2,119.155,45.486,0,114,1.816,1.816,NA,1.816,NA,97.431,NA
35,18,1,45.721,41.18,0,64.8,0,0,NA,NA,NA,NA,NA
36,18,2,45.721,42.119,0,64.6,0.939,0.939,NA,0.939,NA,90,NA
37,19,1,44.39,41.728,0,78.2,0,0,NA,NA,NA,NA,NA
38,19,2,43.92,42.667,0,73,1.05,1.05,NA,1.05,NA,116.565,NA
39,20,1,62.944,53.863,0,78.9,0,0,NA,NA,NA,NA,NA
40,20,2,62.788,55.194,0,56.2,1.34,1.34,NA,1.34,NA,96.71,NA
41,21,1,68.894,44.233,0,75.2,0,0,NA,NA,NA,NA,NA
42,21,2,68.659,45.329,0,67.1,1.121,1.121,NA,1.121,NA,102.095,NA
43,22,1,65.997,44.703,0,60.2,0,0,NA,NA,NA,NA,NA
44,22,2,65.997,45.877,0,74.2,1.174,1.174,NA,1.174,NA,90,NA
45,23,1,62.709,46.973,0,96.9,0,0,NA,NA,NA,NA,NA
46,23,2,62.631,48.069,0,82.2,1.099,1.099,NA,1.099,NA,94.086,NA
47,24,1,60.595,46.817,0,80.2,0,0,NA,NA,NA,NA,NA
48,24,2,60.517,48.148,0,66.2,1.333,1.333,NA,1.333,NA,93.366,NA
49,25,1,84.004,41.023,0,44.7,0,0,NA,NA,NA,NA,NA
50,25,2,83.769,42.589,0,103.7,1.583,1.583,NA,1.583,NA,98.531,NA
51,26,1,67.798,54.567,0,78.9,0,0,NA,NA,NA,NA,NA
52,26,2,67.641,55.82,0,66.1,1.262,1.262,NA,1.262,NA,97.125,NA
53,27,1,51.984,51.984,0,101.5,0,0,NA,NA,NA,NA,NA
54,27,2,51.279,53.784,0,72.8,1.934,1.934,NA,1.934,NA,111.371,NA
55,28,1,73.905,53.158,0,98.6,0,0,NA,NA,NA,NA,NA
56,28,2,73.826,54.254,0,100.5,1.099,1.099,NA,1.099,NA,94.086,NA
57,29,1,72.574,52.845,0,95.6,0,0,NA,NA,NA,NA,NA
58,29,2,72.339,53.941,0,96.7,1.121,1.121,NA,1.121,NA,102.095,NA
59,30,1,73.2,56.838,0,69.7,0,0,NA,NA,NA,NA,NA
60,30,2,72.417,58.168,0,97.1,1.544,1.544,NA,1.544,NA,120.466,NA
61,31,1,71.164,57.777,0,85.2,0,0,NA,NA,NA,NA,NA
62,31,2,70.616,59.03,0,71.2,1.367,1.367,NA,1.367,NA,113.629,NA
63,32,1,118.138,49.165,0,107.7,0,0,NA,NA,NA,NA,NA
64,32,2,117.981,50.34,0,108.4,1.185,1.185,NA,1.185,NA,97.595,NA
65,33,1,116.807,50.34,0,105.4,0,0,NA,NA,NA,NA,NA
66,33,2,116.65,51.671,0,108,1.34,1.34,NA,1.34,NA,96.71,NA
67,34,1,114.85,50.496,0,96.4,0,0,NA,NA,NA,NA,NA
68,34,2,114.615,51.827,0,95,1.351,1.351,NA,1.351,NA,100.008,NA
69,35,1,123.696,43.529,0,66.8,0,0,NA,NA,NA,NA,NA
70,35,2,123.696,44.938,0,120.9,1.409,1.409,NA,1.409,NA,90,NA
71,36,1,127.454,43.685,0,93.8,0,0,NA,NA,NA,NA,NA
72,36,2,127.141,45.016,0,110.7,1.367,1.367,NA,1.367,NA,103.241,NA
73,37,1,131.055,43.529,0,70.6,0,0,NA,NA,NA,NA,NA
74,37,2,131.212,45.251,0,89.7,1.729,1.729,NA,1.729,NA,84.806,NA
75,38,1,108.352,56.524,0,96.5,0,0,NA,NA,NA,NA,NA
76,38,2,108.352,58.403,0,80.4,1.879,1.879,NA,1.879,NA,90,NA
77,39,1,111.17,57.229,0,88.5,0,0,NA,NA,NA,NA,NA
78,39,2,111.092,58.873,0,60.6,1.646,1.646,NA,1.646,NA,92.726,NA
79,40,1,114.693,57.699,0,57.1,0,0,NA,NA,NA,NA,NA
80,40,2,114.615,59.343,0,37.8,1.646,1.646,NA,1.646,NA,92.726,NA
81,41,1,117.668,56.368,0,77.9,0,0,NA,NA,NA,NA,NA
82,41,2,117.746,57.855,0,74.6,1.49,1.49,NA,1.49,NA,86.987,NA
83,42,1,121.582,56.211,0,89.8,0,0,NA,NA,NA,NA,NA
84,42,2,121.426,57.699,0,67,1.496,1.496,NA,1.496,NA,96.009,NA
85,43,1,125.418,56.29,0,99.2,0,0,NA,NA,NA,NA,NA
86,43,2,125.418,57.777,0,85.8,1.487,1.487,NA,1.487,NA,90,NA
87,44,1,130.194,57.072,0,70.9,0,0,NA,NA,NA,NA,NA
88,44,2,130.038,58.482,0,79.3,1.418,1.418,NA,1.418,NA,96.34,NA
89,45,1,126.123,58.717,0,53.4,0,0,NA,NA,NA,NA,NA
90,45,2,126.045,60.047,0,45.4,1.333,1.333,NA,1.333,NA,93.366,NA
